"data","fechamento","abertura","maxima","minima","volume","variacao","DATE"
"Jan 16 2017","830.1","820.7","837.9","814.8","7.65","1.14",2017-01-16
"Jan 17 2017","904.0","830.1","910.8","828.0","27.34","8.90",2017-01-17
"Jan 18 2017","887.8","904.0","913.8","847.3","21.30","-1.80",2017-01-18
"Jan 19 2017","900.3","887.6","908.2","884.6","15.08","1.41",2017-01-19
"Jan 20 2017","896.0","900.3","904.5","883.3","9.49","-0.48",2017-01-20
"Jan 21 2017","924.0","895.7","931.0","893.9","12.17","3.13",2017-01-21
"Jan 22 2017","923.7","924.0","939.7","892.0","21.84","-0.03",2017-01-22
"Jan 23 2017","910.0","923.7","928.8","910.0","9.63","-1.48",2017-01-23
"Jan 24 2017","886.1","908.4","927.0","884.2","20.73","-2.63",2017-01-24
"Jan 25 2017","893.3","886.1","899.6","884.2","10.48","0.82",2017-01-25
"Jan 26 2017","915.1","893.3","917.6","893.3","9.82","2.44",2017-01-26
"Jan 27 2017","916.7","915.1","922.2","905.0","10.14","0.17",2017-01-27
"Jan 28 2017","919.4","916.7","924.0","915.0","3.61","0.30",2017-01-28
"Jan 29 2017","912.6","919.4","923.0","910.7","2.70","-0.75",2017-01-29
"Jan 30 2017","917.4","912.5","920.8","910.0","3.45","0.53",2017-01-30
"Jan 31 2017","966.2","917.4","969.4","916.8","19.65","5.32",2017-01-31
"Feb 01 2017","983.7","966.2","985.0","960.1","11.35","1.82",NA
"Feb 02 2017","1,005.7","983.7","1,010.5","970.1","17.79","2.23",NA
"Feb 03 2017","1,015.7","1,007.0","1,020.5","988.3","18.97","0.99",NA
"Feb 04 2017","1,031.1","1,016.8","1,040.0","1,001.6","17.19","1.52",NA
"Feb 05 2017","1,006.6","1,031.1","1,033.0","996.3","16.19","-2.38",NA
"Feb 06 2017","1,022.6","1,006.6","1,026.2","1,006.0","8.90","1.59",NA
"Feb 07 2017","1,052.1","1,022.6","1,056.3","1,021.7","15.19","2.88",NA
"Feb 08 2017","1,048.8","1,052.5","1,068.0","1,013.2","23.09","-0.31",NA
"Feb 09 2017","985.0","1,049.0","1,078.0","936.4","59.96","-6.09",NA
"Feb 10 2017","992.0","985.0","1,002.0","949.4","24.48","0.71",NA
"Feb 11 2017","1,000.3","992.1","1,009.0","984.2","9.32","0.84",NA
"Feb 12 2017","996.0","1,000.1","1,005.4","992.3","4.33","-0.43",NA
"Feb 13 2017","996.5","996.0","1,004.5","975.9","9.05","0.05",NA
"Feb 14 2017","1,013.7","996.5","1,019.0","988.9","12.20","1.73",NA
"Feb 15 2017","1,013.8","1,013.3","1,017.3","1,002.4","5.61","0.01",NA
"Feb 16 2017","1,038.4","1,013.9","1,045.7","1,013.9","11.26","2.43",NA
"Feb 17 2017","1,056.2","1,038.5","1,065.8","1,034.1","16.17","1.71",NA
"Feb 18 2017","1,059.8","1,056.2","1,071.1","1,053.1","7.15","0.34",NA
"Feb 19 2017","1,056.2","1,059.8","1,066.0","1,045.0","6.44","-0.34",NA
"Feb 20 2017","1,091.2","1,056.2","1,100.3","1,044.1","13.29","3.31",NA
"Feb 21 2017","1,129.6","1,091.3","1,134.0","1,085.0","24.50","3.52",NA
"Feb 22 2017","1,125.3","1,129.6","1,140.0","1,106.4","14.33","-0.38",NA
"Feb 23 2017","1,190.9","1,125.5","1,196.9","1,120.4","26.12","5.83",NA
"Feb 24 2017","1,185.1","1,189.9","1,222.2","1,111.1","48.21","-0.49",NA
"Feb 25 2017","1,153.0","1,185.4","1,189.9","1,131.5","16.29","-2.71",NA
"Feb 26 2017","1,178.3","1,153.0","1,185.9","1,130.9","11.08","2.19",NA
"Feb 27 2017","1,195.5","1,178.3","1,202.6","1,171.0","11.76","1.46",NA
"Feb 28 2017","1,189.1","1,196.0","1,216.0","1,177.8","17.47","-0.54",NA
"Mar 01 2017","1,232.8","1,189.1","1,233.5","1,186.0","22.49","3.68",2017-03-01
"Mar 02 2017","1,262.3","1,232.9","1,283.1","1,213.0","30.55","2.39",2017-03-02
"Mar 03 2017","1,288.2","1,257.6","1,294.7","1,256.6","22.29","2.05",2017-03-03
"Mar 04 2017","1,267.8","1,289.1","1,291.8","1,240.1","15.55","-1.58",2017-03-04
"Mar 05 2017","1,278.4","1,267.8","1,279.8","1,245.3","9.32","0.84",2017-03-05
"Mar 06 2017","1,279.3","1,278.4","1,287.8","1,268.6","9.60","0.07",2017-03-06
"Mar 07 2017","1,232.4","1,279.2","1,281.8","1,185.9","42.01","-3.67",2017-03-07
"Mar 08 2017","1,149.3","1,232.4","1,243.6","1,142.2","46.82","-6.74",2017-03-08
"Mar 09 2017","1,190.4","1,150.0","1,207.5","1,136.0","24.15","3.58",2017-03-09
"Mar 10 2017","1,113.6","1,190.4","1,328.8","971.0","104.89","-6.45",2017-03-10
"Mar 11 2017","1,172.8","1,113.5","1,196.1","1,107.0","31.26","5.32",2017-03-11
"Mar 12 2017","1,225.2","1,172.4","1,232.6","1,167.5","18.97","4.47",2017-03-12
"Mar 13 2017","1,238.5","1,224.4","1,246.9","1,207.5","23.07","1.09",2017-03-13
"Mar 14 2017","1,245.0","1,238.5","1,257.9","1,218.9","17.97","0.52",2017-03-14
"Mar 15 2017","1,256.1","1,245.0","1,262.0","1,241.3","15.84","0.89",2017-03-15
"Mar 16 2017","1,169.0","1,256.1","1,259.7","1,132.5","51.49","-6.93",2017-03-16
"Mar 17 2017","1,068.4","1,169.1","1,169.6","1,066.0","59.21","-8.61",2017-03-17
"Mar 18 2017","971.0","1,067.8","1,097.1","935.1","87.88","-9.12",2017-03-18
"Mar 19 2017","1,016.1","971.9","1,058.9","971.0","40.55","4.64",2017-03-19
"Mar 20 2017","1,039.0","1,016.5","1,052.1","1,011.2","20.53","2.25",2017-03-20
"Mar 21 2017","1,115.0","1,040.4","1,120.9","1,040.1","33.42","7.31",2017-03-21
"Mar 22 2017","1,039.1","1,115.9","1,116.0","986.3","41.33","-6.81",2017-03-22
"Mar 23 2017","1,033.0","1,039.4","1,055.0","1,018.0","19.33","-0.59",2017-03-23
"Mar 24 2017","943.1","1,032.7","1,034.2","928.3","43.52","-8.70",2017-03-24
"Mar 25 2017","972.2","942.1","980.0","891.0","46.01","3.08",2017-03-25
"Mar 26 2017","969.0","971.3","1,005.5","950.1","33.26","-0.33",2017-03-26
"Mar 27 2017","1,042.7","968.9","1,046.9","960.1","31.91","7.61",2017-03-27
"Mar 28 2017","1,044.7","1,042.8","1,066.5","1,016.8","25.25","0.19",2017-03-28
"Mar 29 2017","1,041.8","1,044.7","1,058.9","1,009.3","22.32","-0.28",2017-03-29
"Mar 30 2017","1,041.0","1,041.7","1,053.5","1,022.2","24.81","-0.08",2017-03-30
"Mar 31 2017","1,081.7","1,042.1","1,089.4","1,041.0","27.50","3.91",2017-03-31
"Apr 01 2017","1,093.2","1,081.3","1,106.9","1,070.2","17.00","1.06",NA
"Apr 02 2017","1,107.6","1,093.5","1,118.2","1,081.0","20.42","1.32",NA
"Apr 03 2017","1,150.2","1,107.8","1,159.9","1,107.8","30.42","3.85",NA
"Apr 04 2017","1,145.0","1,150.1","1,161.9","1,124.1","21.16","-0.45",NA
"Apr 05 2017","1,140.6","1,145.8","1,146.7","1,112.3","22.55","-0.38",NA
"Apr 06 2017","1,191.5","1,140.3","1,206.4","1,140.3","32.17","4.46",NA
"Apr 07 2017","1,196.6","1,191.5","1,208.9","1,176.7","20.44","0.43",NA
"Apr 08 2017","1,188.1","1,196.6","1,202.6","1,171.3","11.02","-0.71",NA
"Apr 09 2017","1,215.9","1,188.1","1,226.9","1,180.2","16.31","2.34",NA
"Apr 10 2017","1,220.3","1,215.9","1,229.9","1,208.1","11.55","0.36",NA
"Apr 11 2017","1,235.6","1,220.3","1,243.4","1,209.1","9.56","1.25",NA
"Apr 12 2017","1,227.4","1,236.9","1,239.0","1,221.0","12.01","-0.66",NA
"Apr 13 2017","1,187.0","1,227.4","1,235.1","1,163.5","19.14","-3.29",NA
"Apr 14 2017","1,206.8","1,187.0","1,219.1","1,184.0","12.32","1.67",NA
"Apr 15 2017","1,193.3","1,206.8","1,215.0","1,190.0","9.15","-1.12",NA
"Apr 16 2017","1,212.0","1,193.3","1,217.6","1,190.4","4.50","1.57",NA
"Apr 17 2017","1,240.0","1,212.5","1,247.0","1,202.2","15.15","2.31",NA
"Apr 18 2017","1,265.4","1,240.0","1,274.8","1,237.0","16.14","2.05",NA
"Apr 19 2017","1,260.5","1,265.4","1,272.0","1,255.0","7.58","-0.39",NA
"Apr 20 2017","1,308.4","1,260.5","1,325.7","1,260.1","15.62","3.80",NA
"Apr 21 2017","1,325.6","1,308.7","1,333.1","1,307.5","8.00","1.31",NA
"Apr 22 2017","1,347.5","1,327.1","1,353.1","1,290.1","12.37","1.65",NA
"Apr 23 2017","1,355.2","1,346.4","1,359.0","1,336.0","7.75","0.57",NA
"Apr 24 2017","1,345.0","1,355.3","1,359.6","1,326.9","7.91","-0.75",NA
"Apr 25 2017","1,370.3","1,345.0","1,378.5","1,342.1","8.27","1.88",NA
"Apr 26 2017","1,399.3","1,371.0","1,411.7","1,365.1","11.81","2.12",NA
"Apr 27 2017","1,440.3","1,399.3","1,449.7","1,392.5","10.40","2.93",NA
"Apr 28 2017","1,415.6","1,440.3","1,447.0","1,368.3","14.02","-1.71",NA
"Apr 29 2017","1,423.6","1,415.6","1,436.6","1,401.5","8.77","0.57",NA
"Apr 30 2017","1,435.2","1,425.4","1,443.5","1,403.3","8.52","0.81",NA
"May 01 2017","1,533.1","1,435.0","1,560.0","1,432.0","22.30","6.82",NA
"May 02 2017","1,560.0","1,533.0","1,604.6","1,479.2","16.73","1.75",NA
"May 03 2017","1,617.8","1,558.5","1,626.9","1,542.0","17.07","3.71",NA
"May 04 2017","1,607.1","1,619.4","1,701.9","1,521.1","31.49","-0.66",NA
"May 05 2017","1,545.1","1,607.2","1,665.5","1,511.7","32.64","-3.86",NA
"May 06 2017","1,597.1","1,545.1","1,605.0","1,545.0","14.02","3.37",NA
"May 07 2017","1,619.9","1,597.0","1,631.3","1,575.1","13.91","1.43",NA
"May 08 2017","1,703.2","1,619.8","1,715.0","1,618.9","19.91","5.14",NA
"May 09 2017","1,760.0","1,703.5","1,813.9","1,695.1","31.21","3.33",NA
"May 10 2017","1,796.8","1,759.8","1,817.4","1,722.3","18.62","2.09",NA
"May 11 2017","1,853.9","1,796.9","1,908.0","1,766.6","24.39","3.18",NA
"May 12 2017","1,735.0","1,853.9","1,864.8","1,700.8","21.40","-6.41",NA
"May 13 2017","1,820.4","1,735.0","1,824.0","1,666.0","16.60","4.92",NA
"May 14 2017","1,828.1","1,820.6","1,852.4","1,780.0","11.31","0.42",NA
"May 15 2017","1,772.5","1,826.8","1,828.5","1,720.0","15.76","-3.04",NA
"May 16 2017","1,785.7","1,772.0","1,795.1","1,728.0","9.86","0.74",NA
"May 17 2017","1,870.0","1,786.2","1,892.9","1,766.4","15.91","4.72",NA
"May 18 2017","1,941.5","1,870.0","1,949.9","1,861.0","12.91","3.82",NA
"May 19 2017","1,966.5","1,941.5","2,000.0","1,925.0","23.00","1.29",NA
"May 20 2017","2,059.7","1,966.5","2,072.2","1,963.6","21.69","4.74",NA
"May 21 2017","2,029.2","2,059.3","2,099.1","2,001.0","17.22","-1.48",NA
"May 22 2017","2,085.5","2,026.5","2,219.9","1,979.2","57.24","2.77",NA
"May 23 2017","2,249.3","2,087.5","2,262.9","2,060.0","22.49","7.85",NA
"May 24 2017","2,394.8","2,250.0","2,443.8","2,247.7","29.63","6.47",NA
"May 25 2017","2,252.0","2,392.6","2,689.0","2,142.1","55.10","-5.96",NA
"May 26 2017","2,127.3","2,268.1","2,477.0","2,008.7","39.76","-5.54",NA
"May 27 2017","1,972.3","2,125.9","2,207.9","1,810.0","47.12","-7.29",NA
"May 28 2017","2,056.6","1,980.0","2,193.0","1,955.5","25.78","4.27",NA
"May 29 2017","2,207.4","2,056.9","2,249.8","1,990.1","16.46","7.33",NA
"May 30 2017","2,146.7","2,207.4","2,263.1","2,080.4","21.45","-2.75",NA
"May 31 2017","2,191.8","2,147.3","2,240.1","2,002.1","21.24","2.10",NA
"Jun 01 2017","2,311.6","2,191.8","2,366.7","2,187.4","18.96","5.46",2017-06-01
"Jun 02 2017","2,405.9","2,312.0","2,407.8","2,271.9","12.55","4.08",2017-06-02
"Jun 03 2017","2,461.0","2,405.9","2,481.0","2,348.0","10.77","2.29",2017-06-03
"Jun 04 2017","2,488.2","2,461.6","2,498.0","2,376.4","11.88","1.11",2017-06-04
"Jun 05 2017","2,636.2","2,488.2","2,637.5","2,480.0","15.39","5.95",2017-06-05
"Jun 06 2017","2,843.6","2,636.9","2,896.5","2,620.0","42.68","7.87",2017-06-06
"Jun 07 2017","2,642.6","2,844.6","2,850.0","2,600.2","22.10","-7.07",2017-06-07
"Jun 08 2017","2,782.1","2,642.0","2,789.3","2,570.1","16.98","5.28",2017-06-08
"Jun 09 2017","2,809.0","2,781.5","2,849.8","2,769.6","9.52","0.97",2017-06-09
"Jun 10 2017","2,806.0","2,809.9","2,890.5","2,750.8","16.17","-0.11",2017-06-10
"Jun 11 2017","2,936.3","2,806.0","3,000.0","2,793.8","19.03","4.64",2017-06-11
"Jun 12 2017","2,571.8","2,941.8","2,961.9","2,298.2","48.34","-12.41",2017-06-12
"Jun 13 2017","2,676.4","2,570.0","2,730.0","2,532.6","23.18","4.07",2017-06-13
"Jun 14 2017","2,395.0","2,677.1","2,720.0","2,284.4","34.71","-10.51",2017-06-14
"Jun 15 2017","2,377.4","2,394.3","2,455.0","2,050.0","55.83","-0.74",2017-06-15
"Jun 16 2017","2,437.0","2,377.5","2,480.0","2,261.2","22.41","2.51",2017-06-16
"Jun 17 2017","2,610.0","2,435.5","2,636.9","2,368.7","16.64","7.10",2017-06-17
"Jun 18 2017","2,491.5","2,610.1","2,635.0","2,421.0","19.99","-4.54",2017-06-18
"Jun 19 2017","2,580.8","2,494.9","2,592.7","2,481.4","13.71","3.58",2017-06-19
"Jun 20 2017","2,712.2","2,585.0","2,779.6","2,568.2","20.56","5.09",2017-06-20
"Jun 21 2017","2,621.2","2,715.3","2,760.0","2,573.3","24.54","-3.36",2017-06-21
"Jun 22 2017","2,672.8","2,624.4","2,709.0","2,554.8","15.18","1.97",2017-06-22
"Jun 23 2017","2,674.9","2,672.8","2,725.3","2,652.8","8.14","0.08",2017-06-23
"Jun 24 2017","2,502.6","2,674.9","2,700.0","2,454.1","16.77","-6.44",2017-06-24
"Jun 25 2017","2,477.7","2,502.6","2,595.0","2,369.1","18.13","-0.99",2017-06-25
"Jun 26 2017","2,394.6","2,480.0","2,510.4","2,258.7","36.37","-3.35",2017-06-26
"Jun 27 2017","2,521.2","2,393.5","2,524.0","2,208.1","33.49","5.29",2017-06-27
"Jun 28 2017","2,518.2","2,521.3","2,561.1","2,403.2","21.83","-0.12",2017-06-28
"Jun 29 2017","2,470.1","2,518.2","2,537.0","2,424.1","12.96","-1.91",2017-06-29
"Jun 30 2017","2,420.7","2,472.4","2,511.1","2,406.6","10.40","-2.00",2017-06-30
"Jul 01 2017","2,349.5","2,420.6","2,440.9","2,291.0","15.08","-2.94",2017-07-01
"Jul 02 2017","2,445.0","2,346.2","2,470.0","2,302.0","12.03","4.06",2017-07-02
"Jul 03 2017","2,524.0","2,445.1","2,584.0","2,416.2","16.14","3.23",2017-07-03
"Jul 04 2017","2,582.6","2,525.9","2,628.0","2,512.4","15.75","2.32",2017-07-04
"Jul 05 2017","2,598.5","2,579.9","2,617.6","2,482.5","13.54","0.62",2017-07-05
"Jul 06 2017","2,593.1","2,598.6","2,603.3","2,546.0","9.83","-0.21",2017-07-06
"Jul 07 2017","2,479.3","2,593.2","2,598.0","2,447.0","17.68","-4.39",2017-07-07
"Jul 08 2017","2,542.0","2,479.3","2,542.6","2,436.8","9.69","2.53",2017-07-08
"Jul 09 2017","2,478.0","2,542.0","2,555.6","2,473.7","7.78","-2.52",2017-07-09
"Jul 10 2017","2,318.3","2,477.9","2,498.1","2,240.0","28.09","-6.44",2017-07-10
"Jul 11 2017","2,282.1","2,318.3","2,372.8","2,183.3","33.06","-1.56",2017-07-11
"Jul 12 2017","2,374.4","2,285.6","2,394.0","2,195.8","21.67","4.04",2017-07-12
"Jul 13 2017","2,329.0","2,375.6","2,400.0","2,293.8","18.42","-1.91",2017-07-13
"Jul 14 2017","2,205.1","2,329.4","2,345.6","2,138.0","27.74","-5.32",2017-07-14
"Jul 15 2017","1,978.6","2,206.5","2,210.1","1,975.7","41.76","-10.27",2017-07-15
"Jul 16 2017","1,924.9","1,979.7","2,048.8","1,835.8","53.02","-2.71",2017-07-16
"Jul 17 2017","2,219.0","1,925.0","2,223.3","1,924.1","40.48","15.28",2017-07-17
"Jul 18 2017","2,302.1","2,220.0","2,380.2","2,139.8","44.10","3.74",2017-07-18
"Jul 19 2017","2,253.1","2,302.2","2,399.9","2,214.2","35.81","-2.13",2017-07-19
"Jul 20 2017","2,856.3","2,253.3","2,919.9","2,253.3","83.44","26.77",2017-07-20
"Jul 21 2017","2,664.0","2,874.5","2,874.5","2,615.0","57.43","-6.73",2017-07-21
"Jul 22 2017","2,845.7","2,659.0","2,912.9","2,642.8","35.25","6.82",2017-07-22
"Jul 23 2017","2,747.5","2,845.7","2,875.7","2,656.2","35.18","-3.45",2017-07-23
"Jul 24 2017","2,769.7","2,750.1","2,812.0","2,707.3","20.71","0.81",2017-07-24
"Jul 25 2017","2,560.9","2,769.7","2,790.1","2,435.7","56.10","-7.54",2017-07-25
"Jul 26 2017","2,525.7","2,560.9","2,612.0","2,404.6","34.18","-1.37",2017-07-26
"Jul 27 2017","2,664.9","2,527.7","2,682.2","2,511.0","31.36","5.51",2017-07-27
"Jul 28 2017","2,784.8","2,664.6","2,819.9","2,655.5","40.54","4.50",2017-07-28
"Jul 29 2017","2,714.1","2,784.8","2,794.2","2,662.6","24.25","-2.54",2017-07-29
"Jul 30 2017","2,749.0","2,713.7","2,756.2","2,595.0","34.97","1.29",2017-07-30
"Jul 31 2017","2,856.0","2,748.9","2,883.5","2,694.8","27.56","3.89",2017-07-31
"Aug 01 2017","2,731.2","2,854.3","2,901.6","2,615.8","42.31","-4.37",NA
"Aug 02 2017","2,702.0","2,733.8","2,757.8","2,640.0","23.76","-1.07",NA
"Aug 03 2017","2,790.3","2,702.0","2,813.0","2,698.0","16.86","3.27",NA
"Aug 04 2017","2,860.0","2,790.3","2,874.8","2,762.6","18.99","2.50",NA
"Aug 05 2017","3,256.4","2,860.0","3,331.9","2,855.0","50.56","13.86",NA
"Aug 06 2017","3,227.9","3,255.0","3,309.8","3,156.0","16.95","-0.88",NA
"Aug 07 2017","3,396.7","3,232.5","3,440.0","3,190.0","24.54","5.23",NA
"Aug 08 2017","3,415.0","3,395.0","3,482.9","3,343.8","31.72","0.54",NA
"Aug 09 2017","3,339.9","3,415.0","3,424.4","3,236.8","26.25","-2.20",NA
"Aug 10 2017","3,407.9","3,340.2","3,444.4","3,310.0","19.13","2.04",NA
"Aug 11 2017","3,644.1","3,404.7","3,690.6","3,380.0","26.43","6.93",NA
"Aug 12 2017","3,865.5","3,643.4","3,965.4","3,590.0","37.66","6.08",NA
"Aug 13 2017","4,053.3","3,866.2","4,183.7","3,836.1","48.16","4.86",NA
"Aug 14 2017","4,319.5","4,061.6","4,330.3","3,969.3","34.22","6.57",NA
"Aug 15 2017","4,151.9","4,321.0","4,430.0","3,841.9","64.13","-3.88",NA
"Aug 16 2017","4,386.3","4,160.0","4,403.6","3,928.1","35.29","5.65",NA
"Aug 17 2017","4,260.0","4,386.4","4,489.1","4,178.1","40.30","-2.88",NA
"Aug 18 2017","4,090.2","4,269.7","4,359.0","3,957.0","46.80","-3.99",NA
"Aug 19 2017","4,145.1","4,088.2","4,184.1","3,920.0","41.77","1.34",NA
"Aug 20 2017","4,064.3","4,145.0","4,192.0","4,040.9","25.10","-1.95",NA
"Aug 21 2017","4,002.5","4,066.3","4,093.5","3,956.4","26.61","-1.52",NA
"Aug 22 2017","4,074.0","3,998.9","4,140.0","3,600.0","61.72","1.79",NA
"Aug 23 2017","4,129.1","4,086.9","4,248.6","4,055.9","27.49","1.35",NA
"Aug 24 2017","4,325.2","4,135.0","4,370.8","4,093.0","22.04","4.75",NA
"Aug 25 2017","4,351.5","4,324.1","4,461.2","4,277.4","27.76","0.61",NA
"Aug 26 2017","4,341.7","4,351.5","4,364.0","4,243.6","14.80","-0.23",NA
"Aug 27 2017","4,331.8","4,340.2","4,405.7","4,305.0","11.16","-0.23",NA
"Aug 28 2017","4,383.8","4,330.7","4,395.2","4,175.7","21.22","1.20",NA
"Aug 29 2017","4,587.1","4,385.1","4,644.2","4,336.7","32.70","4.64",NA
"Aug 30 2017","4,569.0","4,586.6","4,641.1","4,481.1","17.07","-0.39",NA
"Aug 31 2017","4,718.2","4,567.9","4,749.9","4,567.9","18.47","3.27",NA
"Sep 01 2017","4,904.9","4,718.3","4,927.4","4,660.7","28.71","3.96",NA
"Sep 02 2017","4,534.4","4,911.8","4,969.0","4,400.5","55.03","-7.55",NA
"Sep 03 2017","4,595.0","4,534.2","4,699.8","4,331.0","33.56","1.34",NA
"Sep 04 2017","4,200.4","4,599.2","4,606.0","4,056.5","59.08","-8.59",NA
"Sep 05 2017","4,374.9","4,210.6","4,469.9","3,900.1","57.73","4.15",NA
"Sep 06 2017","4,589.1","4,375.0","4,631.4","4,361.4","39.00","4.90",NA
"Sep 07 2017","4,613.5","4,594.6","4,672.8","4,465.3","23.13","0.53",NA
"Sep 08 2017","4,305.8","4,613.5","4,686.2","4,107.1","60.93","-6.67",NA
"Sep 09 2017","4,317.9","4,304.0","4,381.2","4,159.4","31.11","0.28",NA
"Sep 10 2017","4,232.1","4,315.4","4,325.0","3,975.8","45.87","-1.99",NA
"Sep 11 2017","4,203.0","4,234.9","4,373.1","4,123.0","30.90","-0.69",NA
"Sep 12 2017","4,142.9","4,198.9","4,378.4","4,055.5","40.04","-1.43",NA
"Sep 13 2017","3,849.7","4,149.4","4,159.6","3,734.0","71.51","-7.08",NA
"Sep 14 2017","3,238.1","3,850.2","3,917.2","3,206.2","127.51","-15.89",NA
"Sep 15 2017","3,698.0","3,237.4","3,809.0","2,981.0","183.11","14.20",NA
"Sep 16 2017","3,685.4","3,697.1","3,874.0","3,511.1","70.74","-0.34",NA
"Sep 17 2017","3,666.3","3,680.1","3,775.9","3,476.3","37.05","-0.52",NA
"Sep 18 2017","4,084.1","3,667.0","4,113.9","3,667.0","58.98","11.40",NA
"Sep 19 2017","3,900.0","4,084.4","4,110.0","3,836.2","47.77","-4.51",NA
"Sep 20 2017","3,873.2","3,892.2","4,048.0","3,834.1","33.21","-0.69",NA
